[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=70/100 loss=0.505547 grad_norm=0.355 action_cls=3.291998 action_acc=0.016
[train] epoch=2/8 step=71/100 loss=0.559853 grad_norm=0.329 action_cls=3.303445 action_acc=0.078
[train] epoch=2/8 step=72/100 loss=0.547721 grad_norm=0.449 action_cls=3.296902 action_acc=0.078
[train] epoch=2/8 step=73/100 loss=0.563890 grad_norm=0.389 action_cls=3.296679 action_acc=0.031
[train] epoch=2/8 step=74/100 loss=0.509872 grad_norm=0.278 action_cls=3.295482 action_acc=0.031
[train] epoch=2/8 step=75/100 loss=0.540383 grad_norm=0.380 action_cls=3.305195 action_acc=0.016
[train] epoch=2/8 step=76/100 loss=0.538424 grad_norm=0.364 action_cls=3.303427 action_acc=0.031
[train] epoch=2/8 step=77/100 loss=0.531982 grad_norm=0.492 action_cls=3.296675 action_acc=0.047
[train] epoch=2/8 step=78/100 loss=0.534456 grad_norm=0.474 action_cls=3.301417 action_acc=0.031
[train] epoch=2/8 step=79/100 loss=0.520090 grad_norm=0.462 action_cls=3.295853 action_acc=0.016
[train] epoch=2/8 step=80/100 loss=0.535462 grad_norm=0.418 action_cls=3.295563 action_acc=0.062
[train] epoch=2/8 step=81/100 loss=0.497426 grad_norm=0.329 action_cls=3.277162 action_acc=0.078
[train] epoch=2/8 step=82/100 loss=0.530688 grad_norm=0.385 action_cls=3.291842 action_acc=0.031
[train] epoch=2/8 step=83/100 loss=0.584825 grad_norm=0.295 action_cls=3.292465 action_acc=0.078
[train] epoch=2/8 step=84/100 loss=0.553682 grad_norm=0.360 action_cls=3.290644 action_acc=0.031
[train] epoch=2/8 step=85/100 loss=0.533684 grad_norm=0.248 action_cls=3.310623 action_acc=0.031
[train] epoch=2/8 step=86/100 loss=0.501977 grad_norm=0.424 action_cls=3.295003 action_acc=0.062
[train] epoch=2/8 step=87/100 loss=0.546673 grad_norm=0.404 action_cls=3.298762 action_acc=0.031
[train] epoch=2/8 step=88/100 loss=0.543131 grad_norm=0.447 action_cls=3.294844 action_acc=0.047
